age,gender,height_cm,weight_kg,bmi,exercise_freq,diet_quality,sleep_hours,stress_level,smoker,alcohol_consumption,chronic_disease,calorie_daily,fat_total_g,exercise_freq_num,diet_quality_num,alcohol_num,smoker_num,chronic_num,gender_num
43.0,Other,157.9,73.8,29.6,1-2 times/week,Excellent,7.0,6.0,No,High,0,2321.0,48.8,1.5,4,3,0,0,2
23.0,Female,163.1,75.5,28.4,1-2 times/week,Excellent,8.2,3.0,Yes,Low,1,1625.0,34.3,1.5,4,1,1,1,1
69.0,Male,171.5,109.1,37.1,3-5 times/week,Good,4.0,3.0,Yes,Low,0,3130.0,127.3,4.0,3,1,1,0,0
60.0,Female,155.6,41.6,17.2,Daily,Average,7.6,5.0,No,Low,1,2254.0,77.6,7.0,2,1,0,1,1
27.0,Male,163.2,85.0,31.9,1-2 times/week,Poor,6.0,8.0,Yes,High,0,3362.0,146.0,1.5,1,3,1,0,0
19.0,Other,187.7,76.1,21.6,3-5 times/week,Good,6.7,6.0,No,Low,0,2581.0,86.3,4.0,3,1,0,0,2
65.0,Male,169.8,100.0,34.7,1-2 times/week,Average,8.0,10.0,No,High,0,3003.0,115.1,1.5,2,3,0,0,0
25.0,Male,172.6,81.9,27.5,1-2 times/week,Good,4.9,6.0,No,Low,0,2583.0,73.8,1.5,3,1,0,0,0
46.0,Other,152.0,78.8,34.1,1-2 times/week,Good,5.9,3.0,No,Moderate,0,2273.0,65.1,1.5,3,2,0,0,2
57.0,Male,160.4,73.6,28.6,3-5 times/week,Excellent,7.4,1.0,No,Low,1,1725.0,38.4,4.0,4,1,0,1,0
53.0,Other,173.3,100.6,33.5,3-5 times/week,Good,6.2,8.0,No,Low,0,2341.0,72.8,4.0,3,1,0,0,2
30.0,Female,157.1,39.2,15.9,3-5 times/week,Excellent,7.0,3.0,No,Low,0,1840.0,44.4,4.0,4,1,0,0,1
42.0,Female,160.1,65.1,25.4,None,Average,7.5,5.0,Yes,Low,0,2208.0,85.5,0.0,2,1,1,0,1
30.0,Other,162.2,78.1,29.7,3-5 times/week,Average,9.9,3.0,Yes,Low,0,2988.0,114.7,4.0,2,1,1,0,2
45.0,Other,166.5,69.6,25.1,3-5 times/week,Average,8.1,5.0,Yes,Low,0,2556.0,87.5,4.0,2,1,1,0,2
30.0,Female,161.8,80.1,30.6,Daily,Average,6.5,5.0,No,Low,0,2386.0,83.4,7.0,2,1,0,0,1
55.0,Male,172.5,107.7,36.2,1-2 times/week,Excellent,7.0,2.0,Yes,Low,0,2157.0,59.2,1.5,4,1,1,0,0
65.0,Other,163.9,75.2,28.0,1-2 times/week,Poor,7.3,1.0,Yes,Low,0,2430.0,102.7,1.5,1,1,1,0,2
55.0,Other,163.7,100.5,37.5,3-5 times/week,Good,7.3,10.0,Yes,Moderate,0,2370.0,111.3,4.0,3,2,1,0,2
43.0,Male,172.8,93.2,31.2,3-5 times/week,Poor,7.7,3.0,No,Moderate,1,3149.0,139.7,4.0,1,2,0,1,0
66.0,Male,169.2,72.1,25.2,1-2 times/week,Excellent,7.7,8.0,No,Low,0,1875.0,36.3,1.5,4,1,0,0,0
36.0,Other,175.4,46.1,15.0,Daily,Average,7.2,9.0,No,Low,0,3300.0,111.0,7.0,2,1,0,0,2
27.0,Female,161.5,56.3,21.6,3-5 times/week,Excellent,8.6,1.0,No,Low,1,1613.0,45.8,4.0,4,1,0,1,1
47.0,Female,158.3,64.9,25.9,Daily,Excellent,10.0,2.0,No,Moderate,0,1374.0,26.2,7.0,4,2,0,0,1
24.0,Male,171.6,73.0,24.8,3-5 times/week,Good,7.6,6.0,No,High,0,3214.0,88.7,4.0,3,3,0,0,0
36.0,Other,179.7,99.8,30.9,Daily,Poor,8.7,8.0,No,Low,0,3413.0,142.2,7.0,1,1,0,0,2
60.0,Female,161.4,101.3,38.9,3-5 times/week,Average,4.8,7.0,No,Moderate,1,2206.0,75.5,4.0,2,2,0,1,1
41.0,Male,168.3,62.0,21.9,3-5 times/week,Excellent,5.9,3.0,No,High,0,2589.0,63.3,4.0,4,3,0,0,0
29.0,Male,167.5,94.3,33.6,3-5 times/week,Average,6.3,5.0,No,Moderate,0,3052.0,107.9,4.0,2,2,0,0,0
69.0,Female,155.9,66.1,27.2,3-5 times/week,Average,7.9,6.0,No,Low,0,2274.0,95.6,4.0,2,1,0,0,1
32.0,Male,176.8,76.9,24.6,1-2 times/week,Poor,6.4,7.0,No,Low,0,3125.0,133.2,1.5,1,1,0,0,0
64.0,Other,173.2,48.3,16.1,3-5 times/week,Good,6.9,10.0,No,Moderate,0,2344.0,55.3,4.0,3,2,0,0,2
43.0,Male,166.9,92.5,33.2,3-5 times/week,Good,7.9,3.0,Yes,Moderate,0,2361.0,82.1,4.0,3,2,1,0,0
21.0,Other,161.8,61.8,23.6,Daily,Excellent,9.0,9.0,No,Moderate,0,1928.0,40.2,7.0,4,2,0,0,2
55.0,Other,172.4,59.1,19.9,3-5 times/week,Good,6.2,9.0,No,Low,1,2224.0,53.9,4.0,3,1,0,1,2
47.0,Female,153.9,51.9,21.9,Daily,Good,7.8,4.0,No,Low,0,2053.0,65.2,7.0,3,1,0,0,1
32.0,Male,172.1,64.3,21.7,Daily,Good,6.7,6.0,No,Low,0,2866.0,85.7,7.0,3,1,0,0,0
30.0,Other,157.5,52.8,21.3,3-5 times/week,Excellent,7.8,2.0,No,Low,0,2529.0,75.0,4.0,4,1,0,0,2
68.0,Male,161.5,81.1,31.1,3-5 times/week,Average,5.9,9.0,No,Moderate,0,3001.0,104.3,4.0,2,2,0,0,0
44.0,Male,174.7,81.5,26.7,Daily,Average,8.1,10.0,No,Moderate,0,3795.0,153.8,7.0,2,2,0,0,0
25.0,Female,161.7,78.2,29.9,1-2 times/week,Average,6.6,3.0,Yes,Low,0,2249.0,90.5,1.5,2,1,1,0,1
34.0,Female,150.6,71.0,31.3,3-5 times/week,Good,6.6,7.0,No,Low,0,1747.0,46.3,4.0,3,1,0,0,1
31.0,Male,176.8,46.9,15.0,Daily,Excellent,8.0,9.0,No,Low,0,2968.0,77.7,7.0,4,1,0,0,0
52.0,Other,167.2,67.4,24.1,Daily,Good,7.6,7.0,Yes,Low,0,2724.0,78.8,7.0,3,1,1,0,2
28.0,Other,172.0,62.1,21.0,3-5 times/week,Excellent,5.4,5.0,No,Moderate,0,1923.0,38.0,4.0,4,2,0,0,2
57.0,Other,166.2,70.7,25.6,3-5 times/week,Excellent,6.5,5.0,No,High,0,2249.0,51.5,4.0,4,3,0,0,2
41.0,Female,161.7,84.5,32.3,3-5 times/week,Average,8.3,3.0,No,Moderate,0,2373.0,94.4,4.0,2,2,0,0,1
41.0,Female,164.5,55.5,20.5,3-5 times/week,Good,6.3,4.0,No,Low,0,1753.0,47.4,4.0,3,1,0,0,1
33.0,Female,156.1,69.2,28.4,Daily,Average,8.6,9.0,No,High,1,2827.0,105.2,7.0,2,3,0,1,1
56.0,Male,176.5,94.4,30.3,3-5 times/week,Poor,7.3,9.0,Yes,Moderate,0,3397.0,136.2,4.0,1,2,1,0,0
41.0,Female,160.9,53.6,20.7,3-5 times/week,Good,7.5,6.0,Yes,Moderate,0,1807.0,51.2,4.0,3,2,1,0,1
44.0,Other,161.9,82.3,31.4,3-5 times/week,Average,7.0,5.0,No,Moderate,0,2222.0,90.4,4.0,2,2,0,0,2
63.0,Male,171.4,70.5,24.0,Daily,Excellent,8.2,1.0,Yes,Low,0,2812.0,72.0,7.0,4,1,1,0,0
23.0,Male,180.4,88.5,27.2,3-5 times/week,Good,6.1,1.0,No,Low,0,2995.0,118.0,4.0,3,1,0,0,0
33.0,Male,177.0,79.6,25.4,3-5 times/week,Good,4.0,3.0,No,Moderate,0,2797.0,69.9,4.0,3,2,0,0,0
63.0,Female,161.6,45.7,17.5,Daily,Excellent,6.2,4.0,No,High,1,2046.0,55.3,7.0,4,3,0,1,1
22.0,Female,157.2,91.7,37.1,3-5 times/week,Average,6.7,10.0,No,Moderate,1,2400.0,93.4,4.0,2,2,0,1,1
68.0,Female,158.8,54.0,21.4,3-5 times/week,Good,6.8,2.0,No,Low,0,1525.0,49.5,4.0,3,1,0,0,1
47.0,Other,157.2,63.5,25.7,3-5 times/week,Good,7.0,9.0,No,Low,0,2122.0,68.3,4.0,3,1,0,0,2
58.0,Other,167.2,83.6,29.9,3-5 times/week,Good,7.0,10.0,No,High,0,2415.0,75.0,4.0,3,3,0,0,2
60.0,Other,178.5,82.8,26.0,3-5 times/week,Good,7.2,10.0,No,Low,0,2140.0,55.9,4.0,3,1,0,0,2
58.0,Male,163.2,44.5,16.7,1-2 times/week,Good,6.6,6.0,No,Low,0,2498.0,71.2,1.5,3,1,0,0,0
68.0,Other,166.3,89.1,32.2,1-2 times/week,Poor,6.4,3.0,No,Moderate,0,2675.0,77.9,1.5,1,2,0,0,2
49.0,Female,167.4,63.3,22.6,1-2 times/week,Good,6.5,5.0,No,Moderate,1,1972.0,63.6,1.5,3,2,0,1,1
54.0,Male,174.3,114.5,37.7,3-5 times/week,Average,5.9,10.0,No,Low,0,3432.0,120.5,4.0,2,1,0,0,0
66.0,Male,175.0,84.2,27.5,3-5 times/week,Good,6.7,7.0,Yes,Low,1,2537.0,85.0,4.0,3,1,1,1,0
19.0,Female,160.5,83.2,32.3,3-5 times/week,Average,6.2,3.0,Yes,Moderate,0,2580.0,88.2,4.0,2,2,1,0,1
64.0,Male,179.1,131.5,41.0,Daily,Poor,6.8,8.0,No,High,0,3775.0,160.2,7.0,1,3,0,0,0
24.0,Male,152.5,47.2,20.3,3-5 times/week,Good,6.6,9.0,Yes,High,0,2331.0,79.5,4.0,3,3,1,0,0
56.0,Male,173.3,69.4,23.1,1-2 times/week,Average,8.1,3.0,No,Low,1,2367.0,73.0,1.5,2,1,0,1,0
55.0,Male,167.0,62.2,22.3,3-5 times/week,Good,7.1,6.0,No,High,0,2972.0,80.8,4.0,3,3,0,0,0
33.0,Other,179.0,51.3,16.0,Daily,Excellent,7.8,3.0,Yes,High,0,2309.0,53.1,7.0,4,3,1,0,2
27.0,Female,159.8,94.5,37.0,3-5 times/week,Good,5.8,5.0,No,High,0,2198.0,58.1,4.0,3,3,0,0,1
21.0,Male,174.9,120.2,39.3,1-2 times/week,Poor,7.0,2.0,No,High,0,3358.0,156.8,1.5,1,3,0,0,0
68.0,Other,177.9,59.8,18.9,1-2 times/week,Good,4.0,5.0,No,Low,0,2183.0,50.6,1.5,3,1,0,0,2
27.0,Female,160.5,81.4,31.6,1-2 times/week,Poor,5.9,9.0,No,Low,0,2477.0,93.0,1.5,1,1,0,0,1
43.0,Male,161.2,80.8,31.1,3-5 times/week,Poor,7.5,7.0,Yes,Low,0,2953.0,128.6,4.0,1,1,1,0,0
32.0,Male,162.5,91.6,34.7,3-5 times/week,Excellent,6.4,6.0,No,Low,1,2106.0,53.5,4.0,4,1,0,1,0
58.0,Female,163.4,84.9,31.8,1-2 times/week,Excellent,6.9,1.0,No,High,1,2409.0,110.2,1.5,4,3,0,1,1
49.0,Other,173.9,80.1,26.5,3-5 times/week,Good,6.6,6.0,Yes,Moderate,0,3290.0,72.7,4.0,3,2,1,0,2
29.0,Other,167.0,93.1,33.4,3-5 times/week,Excellent,6.3,6.0,No,Low,0,1786.0,43.1,4.0,4,1,0,0,2
41.0,Female,162.1,90.1,34.3,3-5 times/week,Poor,4.5,4.0,No,Low,1,2160.0,85.6,4.0,1,1,0,1,1
61.0,Female,160.4,92.4,35.9,1-2 times/week,Poor,8.0,8.0,Yes,Low,0,2216.0,103.2,1.5,1,1,1,0,1
38.0,Female,153.4,48.2,20.5,3-5 times/week,Good,9.6,4.0,No,Moderate,0,1506.0,40.9,4.0,3,2,0,0,1
35.0,Female,152.6,45.9,19.7,3-5 times/week,Good,5.7,7.0,No,Low,1,1816.0,45.9,4.0,3,1,0,1,1
67.0,Female,160.3,75.0,29.2,Daily,Excellent,7.0,6.0,No,High,1,2615.0,76.6,7.0,4,3,0,1,1
65.0,Female,162.1,89.1,33.9,3-5 times/week,Poor,6.3,4.0,Yes,None,1,2160.0,86.4,4.0,1,0,1,1,1
60.0,Male,167.1,82.7,29.6,3-5 times/week,Excellent,4.0,6.0,Yes,Moderate,1,2114.0,48.9,4.0,4,2,1,1,0
47.0,Female,161.6,87.7,33.6,1-2 times/week,Average,7.8,10.0,Yes,High,0,3044.0,101.8,1.5,2,3,1,0,1
48.0,Other,160.4,76.4,29.7,3-5 times/week,Poor,7.5,3.0,No,Moderate,0,2952.0,125.9,4.0,1,2,0,0,2
47.0,Female,165.2,61.1,22.4,Daily,Average,7.3,10.0,No,Low,0,1961.0,79.2,7.0,2,1,0,0,1
54.0,Other,158.7,64.0,25.4,1-2 times/week,Excellent,6.4,9.0,No,Low,1,2048.0,38.9,1.5,4,1,0,1,2
19.0,Other,162.9,67.7,25.5,3-5 times/week,Good,8.3,2.0,No,High,0,2473.0,60.0,4.0,3,3,0,0,2
57.0,Male,151.4,66.9,29.2,1-2 times/week,Good,6.4,2.0,No,Low,0,2255.0,60.3,1.5,3,1,0,0,0
33.0,Male,174.1,108.2,35.7,1-2 times/week,Poor,7.9,8.0,No,High,0,3524.0,150.1,1.5,1,3,0,0,0
27.0,Other,159.6,56.5,22.2,3-5 times/week,Excellent,9.1,8.0,Yes,None,1,2603.0,54.2,4.0,4,0,1,1,2
62.0,Female,164.2,80.9,30.0,3-5 times/week,Poor,7.1,10.0,No,Moderate,0,2654.0,113.7,4.0,1,2,0,0,1
50.0,Female,165.7,59.0,21.5,3-5 times/week,Poor,7.4,10.0,No,Low,0,2947.0,118.2,4.0,1,1,0,0,1
53.0,Female,168.7,64.6,22.7,Daily,Excellent,5.2,10.0,Yes,Moderate,0,1938.0,57.8,7.0,4,2,1,0,1
60.0,Female,165.4,112.7,41.2,3-5 times/week,Poor,6.5,5.0,No,High,1,2869.0,119.5,4.0,1,3,0,1,1
25.0,Male,168.8,75.5,26.5,3-5 times/week,Good,6.2,4.0,No,Moderate,0,2811.0,127.3,4.0,3,2,0,0,0
23.0,Female,169.0,80.5,28.2,3-5 times/week,Poor,8.1,4.0,Yes,Moderate,0,3261.0,132.0,4.0,1,2,1,0,1
46.0,Female,158.4,56.0,22.3,Daily,Average,4.9,7.0,No,Low,1,2598.0,92.3,7.0,2,1,0,1,1
50.0,Male,167.5,96.0,34.2,3-5 times/week,Good,4.8,5.0,Yes,Moderate,0,3541.0,141.0,4.0,3,2,1,0,0
18.0,Male,173.0,61.7,20.6,3-5 times/week,Good,7.1,3.0,No,Low,0,3203.0,81.6,4.0,3,1,0,0,0
31.0,Male,168.3,87.0,30.7,3-5 times/week,Poor,8.8,2.0,No,Moderate,0,3281.0,139.8,4.0,1,2,0,0,0
35.0,Male,175.7,77.5,25.1,3-5 times/week,Poor,7.4,1.0,No,Moderate,0,3047.0,127.0,4.0,1,2,0,0,0
18.0,Male,164.4,62.4,23.1,3-5 times/week,Average,4.9,7.0,Yes,Low,0,2131.0,61.3,4.0,2,1,1,0,0
68.0,Male,174.5,74.9,24.6,1-2 times/week,Poor,5.1,1.0,No,Low,0,3385.0,134.1,1.5,1,1,0,0,0
25.0,Male,164.1,70.6,26.2,1-2 times/week,Poor,6.2,3.0,No,Low,0,2935.0,129.6,1.5,1,1,0,0,0
49.0,Female,168.8,52.7,18.5,Daily,Good,9.2,10.0,Yes,Low,1,1822.0,52.9,7.0,3,1,1,1,1
23.0,Male,176.4,108.0,34.7,1-2 times/week,Good,7.1,4.0,Yes,High,0,3412.0,94.7,1.5,3,3,1,0,0
45.0,Female,156.1,49.7,20.4,3-5 times/week,Average,9.7,6.0,No,Low,0,2098.0,65.2,4.0,2,1,0,0,1
51.0,Other,167.5,80.2,28.6,None,Good,9.3,8.0,No,High,1,2756.0,82.6,0.0,3,3,0,1,2
45.0,Female,160.9,63.9,24.7,3-5 times/week,Poor,7.1,10.0,No,Low,0,2296.0,97.7,4.0,1,1,0,0,1
51.0,Female,164.0,96.8,36.0,3-5 times/week,Good,6.0,1.0,No,Moderate,1,2446.0,108.2,4.0,3,2,0,1,1
21.0,Female,164.9,77.2,28.4,3-5 times/week,Excellent,8.3,10.0,No,High,0,2284.0,77.4,4.0,4,3,0,0,1
48.0,Male,167.1,106.7,38.2,3-5 times/week,Average,8.0,1.0,No,Low,1,2710.0,95.1,4.0,2,1,0,1,0
69.0,Other,169.7,95.0,33.0,3-5 times/week,Average,6.3,7.0,No,High,0,2883.0,102.7,4.0,2,3,0,0,2
48.0,Male,162.1,90.7,34.5,3-5 times/week,Average,4.9,6.0,Yes,Low,0,2856.0,94.7,4.0,2,1,1,0,0
41.0,Male,165.6,60.6,22.1,None,Good,8.2,8.0,No,Low,0,2521.0,68.4,0.0,3,1,0,0,0
64.0,Male,165.0,86.3,31.7,1-2 times/week,Average,7.0,3.0,Yes,High,0,3373.0,122.6,1.5,2,3,1,0,0
41.0,Female,165.1,78.0,28.6,3-5 times/week,Excellent,7.7,1.0,No,Moderate,1,2127.0,62.4,4.0,4,2,0,1,1
44.0,Other,163.2,96.1,36.1,Daily,Poor,7.0,1.0,Yes,Low,0,3136.0,136.4,7.0,1,1,1,0,2
63.0,Female,158.5,87.2,34.7,1-2 times/week,Poor,5.7,9.0,No,Low,0,2522.0,106.1,1.5,1,1,0,0,1
46.0,Other,180.4,74.5,10.700000000000003,1-2 times/week,Average,5.0,6.0,No,Low,1,2648.0,100.2,1.5,2,1,0,1,2
36.0,Other,174.9,89.6,29.3,3-5 times/week,Poor,6.1,1.0,No,Low,0,2900.0,126.8,4.0,1,1,0,0,2
42.0,Female,167.5,85.6,30.5,1-2 times/week,Good,7.8,2.0,Yes,High,0,2088.0,61.6,1.5,3,3,1,0,1
51.0,Female,165.8,84.4,30.7,3-5 times/week,Good,7.4,1.0,No,Low,0,2573.0,74.2,4.0,3,1,0,0,1
51.0,Other,173.2,86.7,28.9,Daily,Poor,6.5,10.0,No,Low,0,2905.0,119.6,7.0,1,1,0,0,2
26.0,Other,171.0,56.1,19.2,Daily,Good,5.8,1.0,Yes,Low,0,2324.0,68.8,7.0,3,1,1,0,2
40.0,Other,173.2,84.9,28.3,3-5 times/week,Excellent,7.8,6.0,Yes,High,1,2140.0,41.4,4.0,4,3,1,1,2
41.0,Female,156.7,43.0,17.5,Daily,Good,8.3,2.0,Yes,Low,0,2113.0,51.8,7.0,3,1,1,0,1
